Average_IMU_SPS_Hz,6876.021
IMU_Time_sec,Accel_X_raw,Accel_Y_raw,Accel_Z_raw,Gyro_X_raw,Gyro_Y_raw,Gyro_Z_raw
0.057395,-8,-141,8251,0,-33,50
0.057535,33,-141,8287,88,-109,-96
0.057676,-24,-118,8282,6,-71,18
0.057813,42,-120,8295,31,-26,-1
0.057952,35,-119,8258,82,-97,-58
0.058093,25,-105,8272,25,-52,-7
0.058231,31,-93,8262,44,-46,5
0.058373,36,-125,8366,19,-52,-51
0.05851,36,-89,8281,31,-109,-20
0.058649,53,-140,8285,56,-39,-39
0.058788,-24,-176,8260,44,-77,18
0.058928,-4,-155,8267,69,-77,-45
0.059067,-40,-105,8290,25,-46,-1
0.059206,17,-134,8225,63,-116,-45
0.059346,-2,-139,8327,19,-52,24
0.059485,52,-115,8341,63,-90,-51
0.059624,35,-176,8335,50,-33,-32
0.059764,-18,-150,8348,38,-122,-39
0.059903,10,-108,8332,69,-71,-20
0.060042,-30,-131,8298,0,-58,-20
0.060182,16,-136,8267,31,-52,-7
0.060321,33,-176,8298,94,-122,-26
0.06046,12,-163,8315,31,-33,-45
0.0606,1,-115,8315,12,-84,5
0.060739,2,-113,8325,82,-71,-32
0.060878,12,-131,8324,-6,-65,-20
0.061017,2,-120,8284,94,-77,-39
0.061159,10,-178,8315,38,-39,5
0.0613,-8,-137,8337,31,-116,-39
0.06144,13,-152,8372,6,-20,18
0.061574,36,-144,8353,107,-77,-64
0.061716,-8,-186,8299,0,-90,-13
0.061854,21,-179,8299,38,-20,5
0.061992,-12,-228,8332,56,-109,-39
0.062132,2,-132,8274,25,-71,-13
0.062271,-35,-96,8268,69,-39,-20
0.06241,-15,-187,8321,25,-84,5
0.062549,-13,-139,8307,94,-84,-45
0.062689,-48,-154,8335,-25,-39,-7
0.062828,22,-155,8327,75,-103,-45
0.062969,46,-127,8318,31,-58,-1
0.063107,-11,-122,8324,19,-84,-39
0.063246,14,-110,8331,69,-77,-7
0.063388,3,-113,8307,38,-26,-13
0.063526,-8,-111,8336,31,-109,-58
0.063665,10,-143,8332,44,-71,5
0.063803,58,-140,8303,25,-33,-7
0.063943,20,-179,8275,69,-103,-51
0.064082,-4,-142,8260,44,-65,-20
0.064221,-4,-152,8325,25,-77,-13
0.064362,52,-110,8318,56,-84,24
0.0645,25,-147,8312,75,-84,-77
0.064639,-7,-164,8303,6,-14,24
0.06478,-35,-193,8294,38,-103,-26
0.064918,23,-130,8269,82,-58,-51
0.065057,12,-130,8285,50,-97,-39
0.065196,38,-110,8329,31,-26,12
0.065336,19,-142,8291,38,-90,-45
0.065476,21,-138,8255,56,-71,5
0.065614,21,-124,8320,44,-52,-58
0.065754,-16,-142,8278,19,-52,-1
0.065893,23,-158,8256,82,-71,-39
0.066035,-44,-152,8297,38,-77,5
0.066172,-9,-119,8301,6,-39,-32
0.066311,-22,-113,8305,38,-84,-32
0.06645,18,-138,8354,38,-71,-1
0.06659,-44,-149,8356,100,-84,-45
0.066729,-30,-198,8273,12,-84,12
0.066868,14,-138,8269,56,-71,-20
0.067008,10,-138,8305,44,-26,-45
0.067147,12,-174,8305,25,-58,12
0.067286,35,-144,8324,82,-109,-26
0.067426,-10,-124,8324,25,-46,-26
0.067565,32,-122,8315,63,-84,-13
0.067704,22,-128,8288,44,-52,-7
0.067843,-2,-155,8352,56,-65,-7
0.067983,29,-78,8372,44,-84,-58
0.068122,19,-99,8324,38,-77,18
0.068261,-1,-89,8239,44,-58,-39
0.068401,6,-127,8240,38,-77,-13
0.06854,-12,-132,8227,69,-71,-7
0.068679,-28,-122,8249,38,-77,-39
0.068819,-6,-181,8283,44,-52,-26
0.068958,21,-108,8291,44,-90,-32
0.069097,24,-100,8296,25,-58,12
0.069237,39,-140,8344,56,-65,-70
0.069378,40,-164,8300,44,-97,37
0.069515,67,-88,8328,38,-97,-70
0.069654,43,-106,8287,50,-33,-20
0.069794,8,-154,8274,44,-97,-39
0.069933,-50,-151,8284,31,-26,43
0.070072,39,-101,8324,75,-128,-83
0.070212,-49,-134,8308,25,-33,-7
0.070351,-9,-131,8286,50,-46,-1
0.07049,15,-139,8260,69,-97,-45
0.07063,39,-108,8298,50,-65,-13
0.070771,-20,-135,8243,6,-58,-32
0.070909,1,-93,8269,63,-103,-13
0.071049,16,-138,8303,38,-58,-26
0.071187,18,-101,8323,19,-71,18
0.071327,-7,-85,8279,69,-84,-77
0.071465,7,-143,8273,56,-52,-1
0.071605,-1,-135,8330,12,-58,-20
0.071744,-6,-169,8283,82,-109,-20
0.071883,15,-129,8264,6,-58,-32
0.072022,9,-172,8253,56,-58,-7
0.072162,7,-144,8244,50,-97,-45
0.072301,17,-138,8261,-6,-65,31
0.072441,13,-113,8309,75,-77,-64
0.07258,-35,-92,8302,38,-84,12
0.07272,35,-114,8294,19,-46,-32
0.072859,26,-154,8242,44,-84,-13
0.072998,29,-140,8296,56,-33,-32
0.073137,48,-188,8290,44,-116,5
0.073277,2,-133,8279,69,-46,-58
0.073417,-20,-140,8271,-6,-65,12
0.073555,20,-197,8289,50,-65,-39
0.073694,-11,-146,8278,44,-84,-51
0.073834,13,-89,8278,31,-71,18
0.073973,39,-128,8304,63,-77,-51
0.074113,32,-179,8302,12,-52,-26
0.074251,-17,-164,8281,63,-90,-13
0.074391,10,-116,8268,0,-39,-32
0.07453,12,-172,8220,56,-90,5
0.074671,-28,-147,8217,25,-58,-1
0.074809,-80,-157,8249,69,-71,-58
0.074948,-28,-147,8284,31,-65,-7
0.075088,0,-148,8319,0,-84,-7
0.075227,26,-131,8262,100,-90,-51
0.075366,2,-166,8251,0,-58,12
0.075508,11,-180,8303,56,-33,-26
0.075646,27,-126,8308,44,-128,-45
0.075784,9,-124,8347,50,-26,-13
0.075923,28,-166,8286,-6,-77,-1
0.076063,-46,-204,8296,88,-46,-13
0.076202,-7,-113,8336,38,-77,-58
0.076342,-31,-138,8349,19,-90,-1
0.076481,6,-117,8249,63,-71,-39
0.076621,23,-119,8285,38,-26,31
0.076759,53,-180,8304,50,-103,-77
0.076899,24,-170,8290,25,-58,-7
0.077038,-13,-141,8291,56,-90,-1
0.077177,-12,-146,8311,50,-58,-64
0.077316,33,-155,8331,44,-58,24
0.077455,6,-166,8288,19,-77,-7
0.077595,30,-119,8300,44,-84,-45
0.077734,-4,-153,8317,56,-71,-32
0.077874,1,-189,8365,38,-39,5
0.078013,39,-109,8336,25,-77,-32
0.078152,8,-74,8316,88,-84,-26
0.078291,-7,-130,8317,-6,-46,-7
0.078431,-10,-145,8310,82,-97,-51
0.07857,-35,-150,8308,25,-84,-1
0.07871,58,-142,8311,38,-39,-13
0.078849,31,-113,8296,63,-97,-64
0.078988,17,-140,8264,31,-46,18
0.079127,23,-155,8330,88,-97,-45
0.079267,-32,-152,8263,0,-52,-45
0.079406,27,-108,8287,69,-39,37
0.079545,7,-134,8296,25,-122,-70
0.079685,59,-148,8297,75,-65,-1
0.079824,38,-139,8266,31,-65,-13
0.079963,3,-132,8272,38,-46,-7
0.080103,52,-138,8244,50,-122,-45
0.080242,61,-116,8286,63,-58,-20
0.080381,-33,-121,8240,31,-33,12
0.08052,-27,-163,8284,63,-141,-45
0.08066,26,-136,8308,6,-33,-13
0.080801,0,-143,8339,100,-122,-26
0.08094,4,-137,8328,6,-33,-20
0.081078,-10,-118,8269,31,-77,-32
0.081223,-73,-136,8264,38,-71,-20
0.081356,37,-125,8301,63,-77,-20
0.081495,62,-165,8302,-13,-52,31
0.081635,-6,-165,8342,88,-84,-89
0.081774,-3,-136,8276,25,-58,12
0.081913,45,-135,8246,44,-77,-39
0.082053,39,-145,8306,38,-65,-20
0.082192,5,-134,8274,56,-65,-1
0.082331,-12,-90,8310,44,-97,-51
0.08247,-9,-91,8332,25,-20,5
0.08261,48,-84,8321,75,-122,-32
0.082749,59,-83,8329,44,-65,-1
0.08289,14,-80,8287,44,-71,-32
0.083029,6,-107,8279,6,-46,-39
0.083169,-20,-141,8302,82,-122,5
0.083306,39,-104,8312,6,-14,-26
0.083446,-9,-94,8314,88,-160,-51
0.083586,-5,-74,8277,19,12,5
0.083724,-25,-132,8275,-19,-84,12
0.083864,-6,-145,8285,100,-116,-64
0.084003,46,-52,8296,6,-46,-7
0.084142,-32,-127,8358,56,-65,-7
0.084284,-11,-144,8352,-6,-52,-7
0.084421,38,-98,8309,100,-97,-45
0.084561,16,-114,8292,-13,-65,-13
0.0847,30,-104,8323,63,-58,-13
0.084839,-38,-148,8288,69,-84,-58
0.084978,2,-156,8268,19,-84,-7
0.085118,-15,-199,8283,31,-71,-13
0.085258,26,-165,8258,38,-58,-7
0.085396,-8,-91,8280,69,-90,-39
0.085536,-35,-109,8270,38,-90,-45
0.085676,5,-145,8256,19,-33,31
0.085814,42,-133,8288,50,-116,-58
0.085953,0,-96,8322,56,-33,-20
0.086093,-22,-118,8330,38,-65,-13
0.086234,17,-134,8312,19,-109,-26
0.086373,-43,-170,8306,82,-71,-32
0.086511,18,-133,8326,-31,-26,-13
0.086651,-24,-93,8308,88,-116,-1
0.086789,-8,-169,8318,38,-97,-58
0.086929,8,-112,8329,12,-7,5
0.087068,-18,-145,8346,63,-116,-45
0.087207,-9,-166,8290,38,-71,-7
0.087346,5,-185,8294,25,-52,-32
0.087486,87,-152,8278,56,-90,-7
0.087625,23,-168,8324,38,-46,-32
0.087764,-33,-141,8311,56,-77,-13
0.087904,-8,-142,8328,25,-90,-20
0.088043,11,-86,8292,19,-97,-45
0.088183,18,-103,8343,31,-46,5
0.088322,45,-133,8303,31,-90,-20
0.088461,18,-120,8309,56,-46,-51
0.0886,5,-123,8268,31,-90,37
0.08874,18,-188,8291,75,-65,-77
0.088879,-18,-170,8355,19,-71,-1
0.089018,-46,-136,8301,25,-33,12
0.089158,-8,-148,8320,82,-135,-83
0.089297,16,-140,8309,6,-20,43
