Average_MAG_SPS_Hz,798.729
MAG_Time_sec,Mag_X_raw,Mag_Y_raw,Mag_Z_raw
0.682601,-2136,962,-5359
0.683548,-2124,948,-5409
0.684495,-2110,944,-5413
0.685442,-2138,904,-5389
0.686389,-2122,920,-5465
0.687336,-2144,980,-5448
0.688283,-2116,982,-5410
0.689231,-2112,984,-5385
0.690182,-2140,1020,-5342
0.691126,-2170,1010,-5398
0.692074,-2180,972,-5440
0.693021,-2154,944,-5386
0.693966,-2130,992,-5439
0.694914,-2102,984,-5371
0.695862,-2106,996,-5433
0.696808,-2116,966,-5360
0.697756,-2144,998,-5441
0.698703,-2098,998,-5461
0.699655,-2080,1000,-5394
0.700597,-2154,952,-5420
0.701545,-2124,940,-5447
0.702493,-2138,998,-5404
0.703439,-2120,992,-5456
0.704386,-2132,962,-5490
0.705333,-2064,948,-5429
0.70628,-2130,976,-5469
0.707227,-2122,974,-5399
0.708175,-2154,978,-5423
0.709121,-2104,958,-5486
0.710068,-2102,970,-5451
0.711015,-2134,986,-5421
0.711963,-2118,984,-5391
0.712909,-2150,990,-5395
0.713857,-2146,968,-5404
0.714804,-2146,996,-5418
0.715752,-2112,986,-5361
0.716699,-2146,936,-5346
0.717645,-2162,994,-5426
0.718593,-2136,982,-5406
0.719541,-2144,1002,-5461
0.720487,-2092,990,-5436
0.721434,-2086,974,-5406
0.722381,-2114,1036,-5405
0.723328,-2088,1002,-5418
0.724275,-2100,988,-5421
0.725221,-2110,948,-5436
0.726168,-2138,1000,-5448
0.727114,-2114,968,-5398
0.728061,-2132,1008,-5471
0.729008,-2116,968,-5376
0.729955,-2088,964,-5435
0.730901,-2072,982,-5466
0.731849,-2042,950,-5415
0.732795,-2106,992,-5450
0.733741,-2086,968,-5368
0.734688,-2146,984,-5329
0.735636,-2118,962,-5459
0.736583,-2118,990,-5448
0.737529,-2154,1036,-5396
0.738476,-2102,978,-5511
0.739424,-2164,920,-5420
0.740371,-2126,946,-5423
0.741318,-2152,966,-5354
0.742265,-2136,992,-5430
0.743213,-2092,966,-5434
0.744158,-2120,994,-5446
