Date,2026-05-07 00:02:29
Duration (s),5.4420
Comment,"table square (X/Y, eyeballed)"

X,Y,Z,w,x,y,z,T
-0.1153,0.0216,0.0192,32.7560,0.0400,0.3180,-0.7980,755122
-0.1156,0.0237,0.0192,32.7560,0.0420,0.3160,-0.7800,755158
-0.1157,0.0249,0.0192,32.7560,0.0440,0.3160,-0.7620,755176
-0.1157,0.0264,0.0192,32.7560,0.0480,0.3140,-0.7500,755194
-0.1157,0.0297,0.0192,32.7580,0.0520,0.3140,-0.7380,755231
-0.1157,0.0315,0.0192,32.7580,0.0520,0.3140,-0.7380,755249
-0.1157,0.0326,0.0192,32.7580,0.0540,0.3140,-0.7380,755268
-0.1157,0.0326,0.0192,32.7580,0.0540,0.3140,-0.7380,755304
-0.1157,0.0326,0.0192,32.7580,0.0540,0.3160,-0.7380,755322
-0.1157,0.0326,0.0192,32.7580,0.0540,0.3160,-0.7400,755340
-0.1157,0.0326,0.0192,32.7580,0.0560,0.3160,-0.7380,755376
-0.1157,0.0326,0.0192,32.7580,0.0560,0.3160,-0.7400,755395
-0.1157,0.0326,0.0192,32.7580,0.0560,0.3160,-0.7400,755413
-0.1154,0.0325,0.0192,32.7560,0.0540,0.3140,-0.8000,755449
-0.1153,0.0325,0.0192,32.7540,0.0540,0.3140,-0.8320,755467
-0.1146,0.0326,0.0192,32.7540,0.0540,0.3100,-0.8340,755486
-0.1120,0.0328,0.0192,32.7580,0.0520,0.3000,-0.7180,755522
-0.1102,0.0326,0.0192,32.7580,0.0480,0.2960,-0.7140,755540
-0.1081,0.0324,0.0192,32.7580,0.0480,0.2940,-0.7380,755558
-0.1035,0.0327,0.0192,32.7580,0.0480,0.2880,-0.7360,755595
-0.1008,0.0328,0.0191,32.7560,0.0480,0.2840,-0.7560,755613
-0.0979,0.0330,0.0191,32.7560,0.0480,0.2820,-0.7820,755631
-0.0919,0.0338,0.0191,32.7580,0.0500,0.2780,-0.7560,755668
-0.0889,0.0341,0.0191,32.7560,0.0480,0.2780,-0.7780,755686
-0.0858,0.0345,0.0191,32.7560,0.0480,0.2780,-0.7820,755704
-0.0827,0.0350,0.0191,32.7580,0.0500,0.2760,-0.7540,755722
-0.0765,0.0363,0.0191,32.7580,0.0520,0.2760,-0.7000,755759
-0.0734,0.0368,0.0191,32.7580,0.0480,0.2780,-0.7040,755777
-0.0711,0.0372,0.0191,32.7580,0.0460,0.2800,-0.6860,755795
-0.0712,0.0382,0.0191,32.7600,0.0460,0.2820,-0.6480,755831
-0.0711,0.0385,0.0191,32.7580,0.0400,0.2840,-0.7040,755850
-0.0712,0.0388,0.0192,32.7560,0.0400,0.2860,-0.7600,755868
-0.0712,0.0394,0.0192,32.7540,0.0380,0.2860,-0.8400,755904
-0.0711,0.0397,0.0192,32.7560,0.0340,0.2860,-0.8320,755922
-0.0711,0.0400,0.0192,32.7540,0.0340,0.2860,-0.8500,755941
-0.0712,0.0407,0.0192,32.7540,0.0340,0.2900,-0.8760,755977
-0.0713,0.0412,0.0192,32.7540,0.0340,0.2920,-0.8440,755995
-0.0715,0.0417,0.0192,32.7560,0.0360,0.2940,-0.8040,756013
-0.0720,0.0426,0.0192,32.7560,0.0300,0.2880,-0.8200,756050
-0.0723,0.0430,0.0192,32.7560,0.0300,0.2880,-0.8100,756068
-0.0728,0.0434,0.0193,32.7540,0.0280,0.2880,-0.8560,756086
-0.0739,0.0438,0.0193,32.7520,0.0260,0.2840,-0.9200,756123
-0.0744,0.0440,0.0193,32.7520,0.0240,0.2820,-0.9160,756141
-0.0751,0.0442,0.0194,32.7520,0.0220,0.2820,-0.9340,756159
-0.0768,0.0446,0.0195,32.7520,0.0220,0.2820,-0.9580,756196
-0.0779,0.0447,0.0195,32.7520,0.0220,0.2820,-0.9720,756214
-0.0792,0.0450,0.0196,32.7520,0.0240,0.2840,-0.9700,756232
-0.0826,0.0454,0.0196,32.7520,0.0260,0.2880,-0.9360,756268
-0.0849,0.0454,0.0196,32.7520,0.0260,0.2900,-0.9460,756287
-0.0875,0.0454,0.0196,32.7520,0.0260,0.2940,-0.9480,756305
-0.0934,0.0455,0.0197,32.7520,0.0260,0.3040,-0.9360,756341
-0.0966,0.0454,0.0197,32.7520,0.0240,0.3060,-0.9300,756359
-0.0998,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9280,756378
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9280,756414
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9280,756432
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9280,756450
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9280,756469
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9180,756505
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9140,756523
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9140,756542
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9140,756578
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9140,756596
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9140,756614
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9140,756651
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9140,756669
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9140,756687
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9120,756723
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3060,-0.9120,756742
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3060,-0.9120,756760
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3060,-0.9120,756796
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3060,-0.9120,756814
-0.1006,0.0453,0.0197,32.7520,0.0240,0.3080,-0.9120,756833
